UserName,Score,Komentar,Sentimen
Arya Guna,5,Mantap gw Dapet ETH Berkat aplikasi ini,Positive
Aspani,1,KOK NFT SAYA HILANG ATAU BERKURANG.. TIDAK ADA PENJELASAN DARI PIHAK OPENSEA,Negative
Taufik Hidayat,1,Tidak bisa listing.....error Jadi tidak bisa jual nft.,Negative
Verentia,5,Moga dapat duid,Positive
Nimin Ardiansyah,1,Apk berat lemot tolong di perbaiki admin ™,Negative
edi zatmiko,1,Tolong dong banyak bugs nih. Sign up aja berulang pas masuk mau post gambar hasur bolak balik terus susah minimal -kali,Negative
Sando Teddy,1,ada app nya tapi pas mo beli dan jual malah harus tetap buka browser.. sangat amat useless,Negative
teddy haryanto,5,vg,Positive
Stephen Geraldy,1,BUG NYA DIKURANGIN DONG & APLIKASINYA DIPERCEPAT,Negative
ELANG JAWA ,3,coba dulu,Neutral
Imam Faeruzzabadi,5,Ok,Positive
Alf Nst,5,Top,Positive
THEGAMERDEMONS_YT,1,Aplikasi apaaan ini dah? foto doank ,Negative
Agus Supri,1,Sangat buruk,Negative
Al Farezzz,5,Semoga bisa dapat penghasilan dari apk ini,Positive
Ekcha Ikmas,5,Good,Positive
Das Zal,5,Good‘Œ,Positive
Trisula Jago Purwokerto,1,Ga bisa di open... Tulisan nya eror mulu... Udah instal ulang berulang kali.... Kenapa ya??,Negative
INVESTOR XQUAD,5,Amazing pool âš¡,Positive
Jimmy Ichiba,4,semoga bisa jual berbagai gambar,Positive
muhammadharis muchsin,5,top,Positive
Zhao Entertainment Zone,1,Fix sistemnya pak banyak bugs disini. Mau rilis gambar saja butuh delay tidak muncul-muncul padahal itemnya  tetapi item yang masih muncul hanya ..,Negative
Fikri Alfikri,5,Bagus,Positive
alfans Hafid,5,Good,Positive
Jamzuri ,5,Bagus,Positive
Novi Handayani,4,Ok ok ok,Positive
Mas Ajit,5,Bagus,Positive
Mis war,5,Mantap,Positive
Ru eN,5,Nice broooo,Positive
NUZUL QODIR,5,Ko eror ya,Positive
boringman,2,Mau tanya kalau mau menjual NFT apa harus bayar terlebih dahulu di opensea ini? Harus punya saldo minimal .ETH apakah ada yang mau menjawab?,Negative
Aditya Rahman,2,Ko erorr setiap buka opensea,Negative
Boy gaming,5,Ya allah semoga bisa laku di bisnis ini dan bisa sukses buktikan ke ortu aamiinn..,Positive
Ferry Setty,3,Lagi mempelajari,Neutral
AMS STRIMER,1,Butut anjign,Negative
LIFE GOOD,5,nft nya keren keren aku bangga sip,Positive
Amelia Latipa,5,Satu kata:halo,Positive
PUJO TIARSO,5,Yang mau berbagi dan dapat kripto silakan di open sea,Positive
Arsa Chanel,2,Kalau bagus sya kasih bintang lagi,Negative
rAiHaN gEmILaNg S,4,Alhamdulillah terima kasih banyak kepada apk OpenSea dari aplikasi ini saya dapat cuan sekitar Jt dan saya bisa membanggakan Ortu saya Salut. Uraaaa :)‡·‡º.,Positive
Nurkholis Murianto,5,Mantap,Positive
"Ali Abdul Ali,5,Pahami dahulu apa itu NFT ikut trend boleh tapi jangan ""bodoh"",Positive"
Ardian Rifqi,5,Bang kalau mau jualan jangan jualan data pribadi mau di pake pinjol kah bang?,Positive
prawira Fano,5,your best to make it difficult for someone it's not easy to login to the wallet so as not to play the opensea market easily the rate system is from love each to unique then what about those who don't have more love and how can other users see a lower rat because the system is random,Positive
Andy Rakhmad Wardana,5,‘‘‘‘‘,Positive
Varent Aw,1,Ampas,Negative
KANG AFIF TEMON PENGEMBARA,5,Top,Positive
Xq -,1,App rasis,Negative
The Black pearl,5,nice app,Positive
Noah Antolin,5,Semoga bermanfaat,Positive
Mufty Fairuz,5,Good,Positive
Hasim Bond,5,Sangat memuas kan,Positive
Gloo Wall,5,Di sini ga bisa untuk jual ya? Cuma bisa untuk liat sama untuk profil aja?? Maaf sebelumnya. Dan terima kasih,Positive
Novian Handriono,5,All The Best,Positive
Hafizh H Asyhari,5,Mantap coeg,Positive
Eko Sutiawan,5,Mantap,Positive
Bang Kiw,4,Bagus,Positive
Susanto Agung Nugroho,5,Test...And TOP,Positive
Kang Ee,5,Karena Gozali jadi ikutan download aplikasinya,Positive
Raden Nursidik,5,Bagus apk nya aku mendapatka  triliun,Positive
mas wir,1,opensia selama ini sangat susah untuk masuk bikin saya sebel maka saya kasih bintang satu sebelum ada perubahan,Negative
Melki Hunter GamingMLBB,5,good,Positive
Freddy Ismawan,5,nice,Positive
Arkana Sulthan Arrafi,1,Gk bisa kyk ghozali males dan lagi gabut bngt jual poto jir,Negative
Vi Gleen,5,Thanks for my god,Positive
poer Karokaro,5,Mantap,Positive
Jaran Goyang,3,Tolong ditambahkan fitur jual NFT nya agar bisa menjual bgt lewat apknya jadi ga perlu lagi buka lewat browser. Terimakasih.,Neutral
Ceritai Kan,5,Mantap bisa juga cek nft dengan mudah tanpa ribet ( Nft saya Unique stones ),Positive
Ahmad husaini Sihr,5,Bagus belum bisa aktif,Positive
Bambang Bangsul,5,Ok,Positive
Yeru Salem,5,Ok,Positive
Juan Diego,5,Bagus,Positive
Aldi Prianto,5,Semoga NFT saya laku kerassssss,Positive
ARYANI SOFFI,3,Coba dulu ,Neutral
Reza Pahlevi,5,Ok,Positive
Aysila Mashel,5,Good,Positive
jevi arobi,5,Ok,Positive
Imam safei,5,Nft jodds,Positive
Angel Putri,5,Mno,Positive
Mentari Damayanti,5,Ok,Positive
IliyaSadd,1,BROKENSEA!! Banyak bug nya gabisa acc offer mau bought selalu gagalkecewa berat...,Negative
Agung Kurniawan,5,Mantap ini amplikasi membantu saya buat penjualan di nft sayasukses selalu,Positive
Ruri Rubi,5,Oke,Positive
Ngagetin,5,INTINYA KALAU LU GAK BISA LU GAK USAH IKUT-IKUTAN.,Positive
Robert R C,1,Aplikasi goblog dah cape cape,Negative
Kadek Satia Adnyana,1,Error gak bisa jualan. Gulung tikar aja bos,Negative
Suits Go,5,Bagus banget ”¥,Positive
Dasep Supyan,5,Good.....,Positive
Terry Duanta,5,Joz,Positive
SENO MACHINE ,1,Kenapa NFT ku gak laku laku. Padahal niatku baik cuma untuk donasi kan untuk makanan kucing jalanan˜¿,Negative
Hidayah Sanuri,3,Di coba,Neutral
Sigit Prayoga,4,Di,Positive
Irgi Ramadhan,5,Keren,Positive
Imam Fauzi,2,Istimewa,Negative
Muhamad Afgan Ashari,3,Banyak kreator nft dari indo yang gajelas pls delete kak nutupin kreator indo yg bner niat bikin nft,Neutral
Nur Samsi,5,Oke,Positive
sales TV,5,Good,Positive
ndan Rf,5,Good,Positive
Asha Malik,2,Mau unlock kok eror terus.,Negative
Fajri Falah Menggokil,5,I finally could see ghozali face all for myself thanks capitalism really cool,Positive
uchlim,3,Saya bikin NFT kenapa alamat contraknya punya orang. Laku kejual malah gak terima ETH. tolong min Opensia masih potensi di hack. Kita yang bikin. Kita yg jual orang yg terima dana. Kalau bisa . Bisa edit alamat contrack + block biar gak kena hack.,Neutral
Imam Siswoyo,4,Kemaren tiap pagi pegang cangkul di kebun dan sdah cape gak kaya kaya.sekarang saya coba nft bisa kaya ngak .nasib ja lagi,Positive
Adin,3,Gimana cara pake nya jual gambarnya ga ngerti,Neutral
Idijhon,1,Bagus banget wow,Negative
HELOs PC,5,‘‘,Positive
Daffa Rauf,1,Butut Mending turu,Negative
Muhammad assidiq,5,—¿¥”,Positive
Annisa,5,Aplikasi ini berguna sekali,Positive
Kocak Momen,1,APK GOUBLOK GAK USAH DI PAKE YA TEMAN NANTI NYESEL,Negative
Blackamazinggame,5,OK,Positive
Rayyan Ridi,5,Gampang nggak usah beli NFT market tinggal foto ckrek udah dapat fotonya,Positive
DIPSI,3,Malah kaya apk jual makanan,Neutral
Wildan Zein,5,Mantap,Positive
Rupiah asli,5,Good,Positive
Ali Rahmanpku,5,Bagus,Positive
Zulfikar Arianto,5,Excellent,Positive
Elix ,1,Apknya gmn seh—¿ udh install lah malah error —¿—¿™™,Negative
Shino Shino,5,Masih mempelajari,Positive
adi radita,3,Kenapa aku tidak bisa menambahkan file untuk dijual sebagai nft?. Apakah ada perbaikan sistem? padahal untuk memutar video di YouTube tidak ada masalah. Apakah aplikasinya masih memiliki bugs?,Neutral
"zacky Art,1,Ada yg sama kaya saya gk sibru instal ko tulisanya ""An error occured we are currenly working on it""dri kmrin gtu trus pdhal sinyal bagus anehh !! Smua gambar gk muncul,Negative"
Jayus Zeyusman,5,pengetahuan,Positive
BLANDONG,2,Ini bisa d rubah bahasa enggak ?,Negative
Andri Maulana,1,Aplikasi kontdolllll... Masak baru mau masuk error dihubungkan ke metamask error... ajinngg,Negative
Skull Gaming,4,aku mau tes jual gambar siapa tau laku bukan jual selfi ga jelas,Positive
Si Meong Nani,1,Kebanyakan yang di screenshot,Negative
tato whinarno,5,Good,Positive
Askira putra,5,semoga bermanfaat,Positive
Dede Jamil,4,I may ask something if I can download the image,Positive
Ivansyauta Van,1,Untuk bisa jual harus terkenal susah buat jual gambar jadi bisa NY beli doang belum tentu bisa naik harga nya —¿—¿—¿,Negative
Arifin Ilham,4,Ya karna bagus lah,Positive
hendri zaky ,5,Bodoo amat dah yg penting upload apa ajadah gua upload ada kecoa lewat gua foto trus gua upload kucing lewat gua foto trus gua upload..aph ajadah poko ny gua foto fotoin..trus gua upload..,Positive
Bang Yudieee,2,Pas di buka kok error ya!!!!,Negative
Nurul Hikmah,4,Tolong di aplikasi ini di buat tombol delete gambar kalo salah upload atau double gambarnya biar gampang di hapus.,Positive
razinal p,5,Bagus bisa jual karya sendiri disini,Positive
Ican Amad,5,Ntap,Positive
ã€ŽVanya_gchã€,5,Bagus banget deh pokoknya!! Kalian harus cobain,Positive
EDDY SANDY,5,siiip pokoke,Positive
SPORT,5,mantap,Positive
Yusuf Salam,1,Eror,Negative
izuka ,3,Can you put a feature so that no one can take a screen shoot i heard some people steal art this way,Neutral
Jihan vino afrie,3,Saya kasih bintang dulu soal nya blm coba bagus ga ya smg bagus amin,Neutral
Hari Ferdinal,5,Very cool.. good,Positive
Jho project,5,Its perfect i likeeee,Positive
Romzani Nabawi,5,Sofar so good,Positive
Infinix Hotpaly,5,Sangat puas,Positive
Bobot Dewa,1,Aplikasinya Gk jelas banget Napa mesti prabayar kirain pasang terus langsung di beli,Negative
citra citra,1,knp eror open sea nya nh,Negative
M. Habibie Resya,5,Buat adick adick yg sepam foto gak jelas di nft kalian buka ghozali ya adick adick,Positive
Berkah Selalu,5,‘,Positive
Arsa Pratama,5,Yg tau ajarain saya dong. ˜­˜­ Pngn bngt bahagian orang tua. ™™™ˆ,Positive
mabibaig,3,Goog,Neutral
cipta teknik solusindo,5,Mantap,Positive
adhy parukkany,4,Semoga aj sesuai yg d harapkan,Positive
J & F,5,Nice,Positive
DANU TIRTA,5,check ( Moon Human ) my collection from Indonesia,Positive
yudi iskandar,5,Bagus,Positive
Halim Halim,1,gak guna ini aplikasi.... nyesel gw download,Negative
Muhammad Husni,5,Mantap foto saya laku total sudah sampai  M,Positive
Ghazy Dzaky,2,Apk nya kok tidak bisa di gunakan ya?mohon di perbaiki,Negative
rini ne rizky,4,cuba dulu karna belum tau caranya daftar,Positive
X Neil,3,Keren bisa jualan,Neutral
Gaok Channel Tube,4,Jual gambar ga laku laku  pun...wkwkwwkk,Positive
Human,5,Hore bisa beli Nasgor dari Open Sea,Positive
m dwi ADITYA,5,Ok,Positive
Taufik Y K,1,ERROR kenapa ini,Negative
GersanZ,4,Bagus tapi...WHOOPS! AN ERROR OCCUREDWE'RE CURRENTLY WORKING ON IT!......WHOOPS! AN ERROR OCCUREDWE'RE CURRENTLY WORKING ON IT!......WHOOPS! AN ERROR OCCUREDWE'RE CURRENTLY WORKING ON IT!_-,Positive
Yudi Prayuga,5,baik bagus kren,Positive
Andri Rahid Ramdhani Basri,5,Gw udah cuan total jt dari bisnis nft ini padahal gw baru gabung selama  bulan... Buat para haters yg suka bacd silahkan bacd terus sampai lu ketinggalan jauh wkwkwkkwkw ˜‚¤£¤£¤£¤£,Positive
Hafizh Fahrezi,5,Bismillahhirohmanirohim,Positive
saiful rizal,1,kok g bisa di buka ya . kata e masalah internet . . . tolong kasih tw bang . .,Negative
Haryadi Nur sasongko,5,bagus,Positive
Nadi Putra,5,saya baru mencoba.. semoga Kita Bisa Sukses lewat Aplikasi ini,Positive
Tyo Jamet,5,Sangat bagus,Positive
mag rb,5,Min aplikadinya error parah,Positive
SAMSUNG j prime,5,Attahiyyaatul mubaarokaatush sholawaatuth thoyyibaatu lillaah. Assalaamu â€˜alaika ayyuhan nabiyyu wa rohmatulloohi wa barokaatuh. Assalaaamuâ€™alainaa wa â€˜alaa â€˜ibaadillaahish shoolihiin. Asyhadu allaa ilaaha illallooh wa asyhadu anna Muhammadar rosuulullooh. Allahumma Shalli Ala Sayyidina Muhammad Wa Ala Ali Sayyidina Muhammad. Kama Shollaita Ala Sayyidina Ibrahim wa alaa aali sayyidina Ibrahim wabaarik ala Sayyidina Muhammad Wa Alaa Ali Sayyidina Muhammad Kama barokta alaa Sayyidina Ibrahim wa,Positive
AREESHA ORIE,5,Alhamdulillah aku dapat M SENENG BANGET !!!¤—¤—,Positive
Razif Abdul,5,MANTAP AKU PUNYA FOTO GHOZALI JADI AKU TERLIHAT KEREN—¿,Positive
anggri sulaeman,1,Upload Files GLB GLTF & OBB not support android (trust wallet),Negative
Amin Cahaya Channel,5,Coba dulu,Positive
Sakni Slbk,1,bagus,Negative
Dewa Andika,1,Bad,Negative
Ravalino Moses,5,Bagus kek nya,Positive
Fernando Andriandi,5,Gud,Positive
AGOY YULISTIAL,5,Ss aja apa gampang tah usah beli,Positive
Andis Atmaja,5,Mantap dan hebat.,Positive
Zulfia Kholifah,5,Saya rutin memakai aplikasi ini untuk memantau progress karya saya di OpenSea. User Interfacenya juga bagus. Mudah dipahami. Thanks developer â¤ï¸,Positive
Bahtiar Sidiq,5,Good,Positive
Gabut ,5,Good,Positive
Anies A,5,ok,Positive
JACKY official,5,Good,Positive
Sambal Nyi Gnat,5,Penasaran karena orang kaya sebesar anang hermansyah juga jual foto disini pasti yang miskin kena libas secara semua peralatan anang cangggih,Positive
Aqila Aprilia,5,Terserah orang mau upload foto apa yg penting jgn nyuri karya orang baru di jual yah ingat aj,Positive
giswan Gamers,1,Apk nya eror harap di perbaiki,Negative
Tiffany Tissa,5,lebih enak pake web nya di metamask (opiniku) tapi apk nya gak kalah keren,Positive
Reza Ramadhan,4,Tolong di perbaiki agar tidak bisa di ss ˜¤,Positive
Radja campus,5,Gw heran sama orang orang yang ngasih bintang  karena kebodohan warga indo ada yang bilang haram lah apalah ya inimah aplikasinya yang ku tau kayak jual beli aja gak ada haram haramnya yang haram itu ya orang orang bodohnya yang foto sambil telanjang atau apapun itu jadi jangan salahin pihak opensea dong padahal udah jelas jelas yang bodoh dan tolol itu warga indonya. Gw warga indo juga tapi kagak tolol tuh mau duit??? Kerja!!! Jangan ngarep dapet instan. JADI JANGAN NGASIH BINTANG  GBLK.,Positive
Muhammad Tayo Tarmada,1,Jelak sekali ya knp saya tidak bisa jualan terus saat jualan aplikasi selalu keluar dengan sendirinya ¥€,Negative
Yavvi Adi Nurrahman,5,Absolutely ok,Positive
L a n ãƒ¡,4,Kebelet NTF,Positive
Wulan Nurcahyani,5,sangat bagus,Positive
hasan gaming fire,5,baik sangat membantu,Positive
Walter Tanjung,5,very good App,Positive
Imey Ndut,5,Belum bisa di activkan,Positive
Djouean Fim,1,Sulit untuk membuat akun,Negative
Crase Gamers,5,Bagus,Positive
Sumisdi soya,5,opensea cukup memudahkan penggunanya dalam banyak halterutama bagi pemula.,Positive
shazfa enterprise cushion maker,4,baik,Positive
Afhy Boy,5,aplikasi bagus,Positive
Diyon Y,5,josss openSea,Positive
Malik Wibowo,5,good,Positive
irfan arifin,5,Keren lah mantab dan Very Good,Positive
M Bintang Khalifah P,5,Sengaja mau buat nft buat naik haji sama keluarga kalo laku semoga laku ya Allah amin,Positive
sujarwoko,1,nyesel tidak bisa di buka,Negative
kanda bagus,1,Gk bisa dibuka error,Negative
Sem Bharaduta,5,coba,Positive
Dimas aryo,1,gabisa di download,Negative
Areta Margareta,5,Good,Positive
Mila Anggiani,5,buka app ini krn bantu anak ku yg suka bikin gambar . anime biar berkembang,Positive
chrysant marrietha,5,Tolong ya Open sea open sea aku eror gak bisa upload jadi tolong yah padahal aku udh perbarui .,Positive
Maatji _,1,Eror sama kaya yg lain nge stuck di profil,Negative
dafa riski,1,Kenapa setiap masuk aplikasi tulisannya error ya? Apa lagi maintenance kah?,Negative
Saputra Wahyu,5,Mantap opensea,Positive
Kurnia Rifqy,1,Bagus sih karena aplikasi ini saya bisa menjual foto guru saya kalau mau lihat namanya Hamdani tzy,Negative
Acung UPA,5,susah belum bisa,Positive
Sean Alfalah,5,Relevance,Positive
Tulus Tulbu,3,Mau nyoba dan liat liat,Neutral
Sakura lia,1,Susah buat akun opensea di apk mau pun melalui website....tolong dong di permuda buat akun nya. Selalu gagal buat akun di opensea baik melalui aplikasi maupun website,Negative
Mas Eko,1,Aplikasi ya engga bisa di buka,Negative
Hayunda Mboizz,5,Kurang ringan aplikasinya,Positive
Xiao Jhonatan,5,Ok,Positive
Leonard liu Daniel,5,KEREN,Positive
M Daud C J,3,Berusaha dan kerja keras adalah kunci sukses. Allah SWT sudah menentukan siapa yang terbaik dan sukses. Tindakan yang bodoh bilamana melakukan kesalahan dan kelengahan. Namun memberikan pelajaran untuk memperbaiki meraih kesuksesan.,Neutral
Roni Setiawan,5,Aku kasi bntang full dech,Positive
drk TV,5,Penasaran aja mau liat orang + nyampah disini ˜…,Positive
Supri Yanto,3,good,Neutral
kayla wandani,5,Aplikasi sangat mudah digunakan‘,Positive
Velynn XD,1,bad bad bad pls dev balikin/kasih cara supaya orang yg serius bekerja dalem nft buat collectionnya gak dillimit.,Negative
Aulia Ari,1,Can not opened..can not work out ...what happen?? Any info?,Negative
Asri Junaeni,1,Kenapa susah masuk error terustry again..try againnnbeuuuhh,Negative
zack Xbhirexa,1,Udah di instal pas di buka malah eror.. auto kasih  bintang Cukup. Terima kasih,Negative
panggih susanto,5,ok,Positive
Ahmad Fauzan,5,Siip,Positive
GALANG ALBI å°¾æ ¹ãŒã—ã¾ã™ä»–,5,Sulit dimengerti—¿ ???ï¼??ï¼?ï¼?ï¼?ï¼?ï¼?ï¼?ï¼?ï¼?ï¼?ï¼ï¼Ÿï¼ï¼Ÿï¼ï¼Ÿï¼ï¼Ÿï¼Ÿï¼ï¼Ÿï¼ï¼Ÿï¼ï¼Ÿï¼ï¼Ÿï¼Ÿï¼ï¼Ÿï¼ï¼Ÿï¼ï¼Ÿï¼?ï¼?ï¼?ï¼?ï¼??ï¼?ï¼?ï¼??ï¼?ï¼?ï¼?ï¼?ï¼?ï¼ï¼Ÿï¼ï¼Ÿï¼ï¼Ÿï¼Ÿï¼ï¼Ÿï¼ï¼Ÿï¼ï¼Ÿï¼ï¼Ÿï¼ï¼Ÿï¼ï¼Ÿï¼Ÿï¼ï¼Ÿï¼ï¼Ÿï¼ï¼Ÿï¼ï¼Ÿï¼ï¼Ÿï¼ï¼Ÿï¼Ÿï¼ï¼Ÿï¼ Semoga foto mu jauh lebih suram —¿‘,Positive
Ide Kreatif Channel,4,Help me Kenapa tidak muncul kata masukan tanda tangan yah saat menghubungkan ke metamask Sehingga saya tidak bisa upload hasil karya saya saya menggunakan android,Positive
Marvel Paleva,5,How I change my profile picture and names in android,Positive
den loloy susilo,2,Good,Negative
Ridho Cell,5,Coba dulu,Positive
Kicauan Chanel,1,Ikut ikutan instal krn penasaran setelah selasi instal.. Eehh.. Di buka isinya tulisan error,Negative
Jonathan Edwards,5,‘‘,Positive
Dwyndra,4,Cobain dulu,Positive
DT,4,Semoga bermanfaat,Positive
vlog supray-ana,5,Gemana sih cara biar kaya Gozali soalnya saya gaptek bahasa Inggris,Positive
Mas Yudha,4,Kenapa aplikasinya dari kemarin gak bisa dibuka....?? . .seriap mau buka ...error terus .,Positive
Fathan Kurniawan,5,Jayadi siapa anyingg,Positive
ZN_official ,3,Sudah  hari ngk bisa masuk ke opensea .mohon diperbaiki ™ soalnya bukan saya saja yg tidak bisa masuk . Thanks,Neutral
Sucen Channel,5,ajib,Positive
Rona Suksmoko,5,keren,Positive
Beni Huda,5,Lagi piral,Positive
Decky Rizal,5,Mantapo,Positive
Ikhsan Ramadhan,5,beli nft yang gw plis lagi butuh uang bangett,Positive
Otaku Fals,5,l love nft,Positive
Herozen,4,Can't sell Art at phone,Positive
Sadewa chanel,5,Berguna,Positive
Muhammad Aditya,5,sangat bagus,Positive
Ksatria Tersembunyi,5,ok,Positive
HakiMaiden Coco,5,Nice,Positive
sialan cs,5,Banyak yg pake ini pengguna crypto semakin banyak  semoga harga crypto semakin turun terutama btc  kalo bisa btc kembali ke harga tahun lalu agar ada yg jual rtx di harga sejutaan.,Positive
Salafi Amin,5,Semoga sukses kaya Gozali,Positive
agus heriyanto,5,good job,Positive
ANWAR ANWAR,5,Aplikasi ok,Positive
Muh Rendyy,1,Kenapa aplikasi ini membutuhkan aplikasi lainya? Paketan saya hampir habis.... Maafff.... tolong diperbaiki yaaa....,Negative
USMAN S.E.,5,Good,Positive
"AnKuYu Channel,1,Lagi error kah opensea ""an error accured and we're working on it"" why ? When it fixed?,Negative"
Cika Selera,4,Good,Positive
Yusup Effendi,3,Tolong aplikasi diperbaiki. Masuk angel eram,Neutral
EPU DEDE,5,Good,Positive
Aqila ,5,Like,Positive
Kevin Ibrahim,5,Nice,Positive
film keren,5,bermanfaat sekali,Positive
Catur Danang,4,unsold,Positive
Dheen_ Production,5,apk nya bagus,Positive
GOKS production,1,NGABLU!!!!!,Negative
Dwi Reno,5,Ok,Positive
Kastalani,5,bagus,Positive
Kmart Makassar K-Link Makassar,5,Top,Positive
badut urban,5,Ada yang jualan bajutoko pakaian wkwowkwok pea lo kira shopi dan sejenisnya nft itu isinya karya seni digitalgambarmusikdan sebagainyalu mau jual apapun random ya gabakal lakukalau orang ga minat disanabikin nft tu gacukup bulan bulanantaun taunan kalau mau sukses jualan ginianlo kira pengen kaya cepetsampe foto ga senonoh segala dijualakwokwowkolo kira itu seni,Positive
Syamsul Arifin,5,siip lah,Positive
UDAMU UUDAM MICHAEL,1,I can't sell my photos,Negative
Rasya Fadhillah R,1,NFT BUAT KARYA BUKAN BUAT FOTOÂ² GAJELAS ANJ,Negative
daffa alfatih,4,Masih mencoba,Positive
Herlianor Herlianor,4,OpenSea...mantaps..tempat seni jadi lebih bernilai,Positive
"Riyan Dhy,2,Ini gimana sih mau dihubungin ke akun metamask kok nggak bisa-bisa. Selalu muncul tulisan ""an error occured bla..bla..bla"". ˜‘˜‘ diperbaiki donk,Negative"
Agus Basuki,3,coba dulu,Neutral
abc def,1,kok error ya kalo dibuka aplikasinya dihubungkan ke e wallet nya juga gabisa,Negative
CILGEM PUTRA ONLINE,3,Ikut ikutan selfie baru gabung  foto ku selfie terjual  juta ¤—¤—¤—,Neutral
Hairil Christian,5,sangat Bagus aplikasi ini harapan saya semoga bermanfaat dan saya bisa mendapatkan tambahan uang untuk membantu perekonomian keluarga ™¼,Positive
Nugroho Eko,2,baagus,Negative
Randu Randu,1,Tidak dapat membuka aplikasi,Negative
Rindo Daswandi,5,Good,Positive
Yana Permana,5,cuan cuan besar,Positive
alifah natasya,5,apk ini keren banget,Positive
Waluyo Adi saputra,4,mantap,Positive
Kakang Guru Abdi,5,semoga ada Rizqinya,Positive
YAYAT HIDAYATULOH,3,How do I log in or register for an account why can't I register?,Neutral
Khaerul Huda,5,bagus,Positive
dew jester,5,goodd,Positive
Reja adriyansah,5,instal aplikasi ini mau liat ketolollan dan kebodohan bapackÂ² dan ibuÂ² wakanda awokawokawok kebelet ghozali,Positive
Antoni,5,ok,Positive
HEngKy CipTaAngGara,4,Baru belajar tapi bingung,Positive
komarudin,3,saya suka aplikasi ini good,Neutral
BRAVOES TV,5,sangat bagus,Positive
Kalong Mn,5,Jangan menyalahkan orang yg membuat aplikasi.karya orang harus kita apresiasi.salam rumpin,Positive
Madu Annahl L,2,Coba dulu kalau memuaskan dan sesuai kasih bintang ,Negative
YRVON Channel,5,Thanks for š˜,Positive
Fahmi Maulana,5,bagus,Positive
DinoGo Craft,2,Saat baru masuk open sea tiba tiba eror dan saat saya mau login dia tidak terjadi apa apa padahal koneksi internet sudah bagus â˜¹ï¸,Negative
Fatma Wati,5,coba kali ajaaaa.............,Positive
Raihan malik,5,nice,Positive
RHYZ SII,2,Saya lg belajar mengamati dulu,Negative
Rizky Wibowo,5,Jos,Positive
Muhammad ali rahman Saragih,5,best is the best,Positive
Aprie Harun,5,Diperketat lagi untuk upload foto agar tidak sembarang foto bisa masuk disamakan dengan dunia nyata mana yang sebuah karya yang patut ada di opensea dan mana yang tidak layak ada...,Positive
Boni Putra,5,good,Positive
Wawan Darmawan,5,bereeh,Positive
